,UKPRN,normalised_name,common_name,STREET_NAME,TOWN,POSTCODE,WEBSITE_URL,longitude,latitude,top_level_web_domain,region
131,10008010.0,STRANMILLIS UNIVERSITY COLLEGE,Stranmillis University College,STRANMILLIS ROAD,BELFAST,BT9 5DY,http://www.stran.ac.uk/,-5.9352,54.5733,stran.ac.uk,Northern Ireland
132,10007799.0,NEWCASTLE UNIVERSITY,University of Newcastle Upon Tyne,CLAREMONT ROAD,NEWCASTLE UPON TYNE,NE1 7RU,http://www.ncl.ac.uk/,-1.6157270000000001,54.980327,ncl.ac.uk,North East
133,10007857.0,BANGOR UNIVERSITY,Bangor University,COLLEGE ROAD,BANGOR,LL57 2DG,http://www.bangor.ac.uk/,-4.129505,53.229236,bangor.ac.uk,Wales
134,10037449.0,UNIVERSITY OF ST MARK & ST JOHN,University of St Mark & St John,DERRIFORD ROAD,PLYMOUTH,PL6 8BH,http:///,-4.110286,50.421023,.,South West
135,10007787.0,THE UNIVERSITY OF BUCKINGHAM,The University of Buckingham,HUNTER STREET,BUCKINGHAM,MK18 1EG,http://www.buckingham.ac.uk/,-0.99182,51.996018,buckingham.ac.uk,South East
136,10007149.0,UNIVERSITY OF HULL,University of Hull,COTTINGHAM ROAD,HULL,HU6 7RX,http://www.hull.ac.uk/,-0.367171,53.769661,hull.ac.uk,Yorkshire and The Humber
137,10007793.0,UNIVERSITY OF SOUTH WALES/PRIFYSGOL DE CYMRU,University of Glamorgan / Prifysgol Morgannwg,,PONTYPRIDD,CF37 1DL,http://www.southwales.ac.uk/,-3.325787,51.588739000000004,southwales.ac.uk,Wales
138,10007835.0,ROYAL ACADEMY OF MUSIC,Royal Academy of Music,MARYLEBONE ROAD,LONDON,NW1 5HT,http://www.ram.ac.uk/,-0.151727,51.523617,ram.ac.uk,London
139,10004048.0,LONDON METROPOLITAN UNIVERSITY,London Metropolitan University,HOLLOWAY ROAD,LONDON,N7 8DB,http://www.londonmet.ac.uk/,-0.11020999999999999,51.551821999999994,londonmet.ac.uk,London
140,10007843.0,"ST MARY'S UNIVERSITY, TWICKENHAM","St Mary's University College, Twickenham",WALDEGRAVE ROAD,TWICKENHAM,TW1 4SX,http://www.smuc.ac.uk/,-0.33529200000000003,51.437438,smuc.ac.uk,London
141,10001143.0,CANTERBURY CHRIST CHURCH UNIVERSITY,Canterbury Christ Church University,ST. GEORGES PLACE,CANTERBURY,CT1 1UT,http://www.canterbury.ac.uk/,1.0856629999999998,51.275760999999996,canterbury.ac.uk,South East
142,10001653.0,THE CONSERVATOIRE FOR DANCE AND DRAMA,The Conservatoire for Dance and Drama,TAVISTOCK SQUARE,LONDON,WC1H 9JJ,http://www.cdd.ac.uk/,-0.12909,51.526207,cdd.ac.uk,London
143,10007760.0,BIRKBECK COLLEGE,Birkbeck College,MALET STREET,LONDON,WC1E 7HX,http://www.bbk.ac.uk/,-0.12781900000000002,51.520998,bbk.ac.uk,London
144,10006842.0,UNIVERSITY OF LIVERPOOL,University of Liverpool,,LIVERPOOL,L69 3BX,http://www.liv.ac.uk/,-2.9755540000000003,53.406416,liv.ac.uk,North West
145,10003324.0,INSTITUTE OF CANCER RESEARCH: ROYAL CANCER HOSPITAL (THE),Institute of Cancer Research: Royal Cancer Hospital (The),OLD BROMPTON ROAD,LONDON,SW7 3RP,http://www.icr.ac.uk/,-0.181668,51.490713,icr.ac.uk,London
146,10007146.0,UNIVERSITY OF GREENWICH,University of Greenwich,Park Row,London,SE10 9LS,http://www.greenwich.ac.uk/,-0.0038909999999999995,51.484493,greenwich.ac.uk,London
147,10007713.0,YORK ST JOHN UNIVERSITY,York St John University,LORD MAYORS WALK,YORK,YO31 7EX,http://www.yorksj.ac.uk/,-1.08029,53.965263,yorksj.ac.uk,Yorkshire and The Humber
148,10007858.0,UNIVERSITY OF WALES: TRINITY SAINT DAVID,University of Wales: Trinity Saint David,COLLEGE ROAD,CARMARTHEN,SA31 3EP,http://www.trinitysaintdavid.ac.uk/,-4.328723,51.858379,trinitysaintdavid.ac.uk,Wales
149,10007846.0,SWANSEA METROPOLITAN UNIVERSITY,Swansea Metropolitan University,MOUNT PLEASANT,SWANSEA,SA1 6ED,http://www.smu.ac.uk/,-3.949446,51.624658000000004,smu.ac.uk,
150,10007825.0,GUILDHALL SCHOOL OF MUSIC & DRAMA,Guildhall School of Music and Drama,SILK STREET BARBICAN,LONDON,EC2Y 8DT,http://www.gsmd.ac.uk/,-0.09240599999999999,51.519502,gsmd.ac.uk,London
